,Operator Name,health,speed,difficulty,BREACH,INTEL,ANTI-GADGET,FRONT LINE,MAP CONTROL,SUPPORT,Operator Unique Ability,Unique Ability Description,Type
10,AMARU,2,2,2,0,0,0,1,1,0,GARRA HOOK,"With the Garra Hook, Amaru can grapple onto ledges and windows and hoist herself up in record times. Her opponents now not only have to worry about attacks from above, but also attacks from below. With the Garra, Amaru is the only operator that can go up an open hatch, instead of down. When timed right, hooking the Garra onto a window can result in Amaru’s infamous Garra Kick, which instantly takes out an opponent standing behind the window.",Attacker
11,NØKK,2,2,3,0,0,0,1,1,0,HEL PRESENCE REDUCTION,"The HEL is a glove attachment, which, when activated, reduces her ambient noise output and hides her image from the opponents’ observation tools. Drones, Bulletproof Cameras, Evil Eyes and more will thus be unable to register Nøkk’s presence as she roams through the map, unseen. Her footsteps will be silenced as she stalks opposing operators, unheard. Roaming will be more risky than ever for Defenders, as Nøkk could be hiding behind every corner or worse, sneaking up right behind them.",Attacker
12,GRIDLOCK,3,1,1,0,0,0,0,1,1,TRAX STINGERS,"Trax Stingers' design is a portable version that when activated, deploys a hexagonal cluster of spikes, covering uneven ground better than a straight mat. Once deployed they can replicate and spread out over a large area. This feature, unique for an Attacker, enables them to use the Trax as an obstacle to reshape the map and control an area. Effects on the enemy include slowing them down and causing damage when stepped on. Trax Stingers will be destroyed when shot or dealt impact or thermal damage.",Attacker
13,NOMAD,2,2,3,0,0,0,1,1,0,AIRJAB LAUNCHER,Nomad’s custom rifle attachment allows her to launch Airjab repulsion grenades. They can stick to a surface and will detonate when an enemy is within range. Nomad enters the field with three Airjab grenades. These pushback devices are non-lethal but they disorient those affected.,Attacker
14,MAVERICK,1,3,2,1,0,0,1,0,0,BREACHING TORCH,"Maverick’s D.I.Y. blowtorch can breach any surface, including reinforced walls and hatches. It requires a steady hand and knowledge of the environment to create small holes and lines of sight. Maverick must be in close range to use his gadget on the chosen surface. This torch makes almost no sound but it runs out of fuel quickly. Nevertheless, the high precision of this gadget makes it a very creative tool to use hands-on without relying on digital technology.",Attacker
15,LION,2,2,1,0,1,0,0,1,0,EE-ONE-D,"Twitch provided him with an aerial drone while he served with GIGN. The EE-ONE-D helps Lion maintain quarantine by detecting movement in an area, giving an overview of hot zones or of the battlefield. His drone can stay airborne indefinitely, but he must choose the right moment to perform his scans.",Attacker
16,FINKA,2,2,1,0,0,0,1,0,1,ADRENAL SURGE,"Finka's Adrenal Surge activates pre-injected nanobots made of zinc in operators, releasing a pharmacological cocktail into their system where the zinc is absorbed as a nutrient. These nanites give her team a short boost in HP, they help allies out of DBNO, and they steady the team’s aim. She’s the only one capable of tailoring the nanites to specific operators.",Attacker
17,DOKKAEBI,1,3,2,0,1,0,0,1,0,LOGIC BOMB,"Grace utilizes the Ballistic Armor Military Laptop, codenamed Logic Bomb, which she uses to hack enemy PDA tactical devices.
The program downloads a virus of her making that can bypass firewalls, turning surrounding devices on and emitting a loud noise to compromise an enemy’s position.",Attacker
18,ZOFIA,3,1,1,1,0,1,0,0,0,KS79 LIFELINE,"KS79 LIFELINE makes use of electronically triggered projectile technology that can fire both concussion and impact ammunition.
The concussion ammunition delivers a 170-decibel shockwave that impairs hearing and causes a dizzying effect.",Attacker
19,YING,2,2,2,0,0,0,1,1,0,CANDELA,"Inspired by the new breed of stun grenades showcased by the S.A.S., this mercury and magnesium based explosive creates a multitude of blinding flashes.
The Candela device releases a cluster of flash charges that can either be anchored on surfaces or thrown out as a grenade.",Attacker
20,JACKAL,2,2,3,0,1,0,0,1,0,EYENOX MODEL III,"Eyenox Model III was created to offer a mobile tracking device able to both identify and trail a person’s footprints in real-time.
Equipped with advanced computer vision, the Eyenox detects invisible details relating to footfall and weight distribution so that you can identify and stalk your target.",Attacker
21,HIBANA,1,3,1,1,0,0,1,0,0,X-KAIROS,"The X-KAIROS - a 40 mm caliber launcher - fires explosive pellets that can be detonated simultaneously from a distance.
Deliver innovative assaults by creating lines of sights, or new pathways!",Attacker
22,CAPITÃO,1,3,2,0,0,0,1,1,0,TACTICAL CROSSBOW,Use a glass bolt to deliver a swift and silent assault against hostiles without alerting them to your position. The glass cartridge breaks on impact releasing a gas that ignites the oxygen in the surrounding area. Deliver swift and agile assaults without alerting your opponents of your position.,Attacker
23,BLACKBEARD,2,2,1,0,0,0,0,0,1,RIFLE SHIELD,"Multiple layers of transparent polycarbonate and thermoplastic armor, coated with a spall shield and backed with ultra-light weight laminated glass.
Protects the user against blunt impact and artillery fire.",Attacker
24,BUCK,2,2,1,1,0,0,0,0,1,SKELETON KEY,"Under-barrel mounted 12 gauge shotgun with four round capacity, used in tandem with an assault rifle.
The Skeleton Key allows the operator to alternate between their standard issue assault rifle and a breaching shotgun with ease and efficiency.",Attacker
25,SLEDGE,3,1,1,1,0,1,0,0,0,TACTICAL BREACHING HAMMER,"Sledge is a soft breacher and flanker, he excels at creating new lines of fire and entry points, harassing the defenders.
Sledge is capable of breaching non-reinforced surfaces thanks to his tactical breaching hammer: The Caber.",Attacker
26,THATCHER,3,1,1,0,0,1,0,0,1,EMP GRENADE,"The copper spool builds up the EMP by spinning
LED gauge
Twist top 45 degrees to activate the device",Attacker
27,ASH,1,3,2,1,0,0,1,0,0,BREACHING ROUNDS,"Ash is a fast-paced front liner; capable of breaching, flanking and dividing the Defender's attention in seconds.",Attacker
28,THERMITE,2,2,1,1,0,0,0,0,1,EXOTHERMIC CHARGE,"Thermite is an important backline support for an attacking team. As one of the only hard-breachers in the game, losing Thermite early in the round will hinder your team significantly. Playing Thermite requires patience, leadership and strong communication with your team.",Attacker
29,MONTAGNE,3,1,3,0,1,0,0,0,1,LE ROC SHIELD,"Collapses into half its size, providing increased mobility to its wielder
Composite of reinforced alloys and Kevlar
Provides protection against small-arms fire and close combat attacks",Attacker
30,TWITCH,2,2,2,0,1,1,0,0,0,SHOCK DRONES,Twitch is a disabler and intel Operator. She can utilize these skills as either a remote back-line support or as an aggressive entry fragger.,Attacker
31,BLITZ,2,2,3,0,0,0,1,1,0,FLASH SHIELD,"Ballistic shield
Three rows of eight flash-bang grenades provide a high intensity light source",Attacker
32,IQ,1,3,3,0,1,0,0,0,1,ELECTRONICS DETECTOR,"Wrist-mounted
Mobile phone-sized sensor",Attacker
33,FUZE,3,1,1,0,0,1,0,0,0,CLUSTER CHARGE,Fuze is best played as an aggressive flanker and area denial Operator. His strengths allow him to dispatch defensive capabilities and harass enemies anchored in defensive positions. Fuze's APM-6 cluster charge propels a group of explosive cluster grenades through any soft breach surface.,Attacker
34,GLAZ,1,3,2,0,1,0,0,0,1,FLIP SIGHT,"Glaz is a back-line marksman, capable of soft breaching and providing covering fire from a distance.",Attacker
